station_id,wmo_station_number,observation_time_utc,latitude,longitude,air_temperature_c,dew_point_temperature_c,station_pressure_hpa,mslp_hpa,wind_direction_deg,wind_speed_ms,horizontal_visibility_km,total_cloud_amount_oktas,cloud_base_height_m,present_weather_code,present_weather_description,past_weather_code,past_weather_description,past_weather_2_code,past_weather_2_description,pressure_tendency_characteristic_code,pressure_tendency_characteristic,pressure_tendency_change_hpa,precipitation_amount_mm,precipitation_period_hours,raw_synop
42182,42182,2025-07-05T03:00:00Z,28.583333,77.2,30.8,27.2,,998.1,0,0.0,2.0,7,600,10,Mist,2,Cloud covering more than half of the sky throughout the period,2,Cloud covering more than half of the sky throughout the period,,,,,,AAXX 05034 42182 31595 70000 10308 20272 49981 71022 84530 333 10362 20279 59012 84630 87360 555 10111=
42182,42182,2025-07-05T06:00:00Z,28.583333,77.2,34.2,27.1,,997.5,90,1.543,4.0,6,600,5,Haze,2,Cloud covering more than half of the sky throughout the period,2,Cloud covering more than half of the sky throughout the period,,,,,,AAXX 05064 42182 31596 60903 10342 20271 49975 70522 83530 333 59006 83630 85359=
42182,42182,2025-07-05T09:00:00Z,28.583333,77.2,36.4,26.5,,995.1,,1.029,4.0,6,600,5,Haze,2,Cloud covering more than half of the sky throughout the period,2,Cloud covering more than half of the sky throughout the period,,,,,,AAXX 05094 42182 31596 69902 10364 20265 49951 70522 84330 333 59013 84630 81935 85360=
42182,42182,2025-07-05T12:00:00Z,28.583333,77.2,34.0,30.6,,993.8,,1.029,4.0,5,1000,10,Mist,6,Rain,2,Cloud covering more than half of the sky throughout the period,,,,2.0,9.0,AAXX 05124 42182 21696 59902 10340 20306 49938 71062 83530 333 10371 59018 6002/ 83635 84360=
42182,42182,2025-07-05T15:00:00Z,28.583333,77.2,32.2,28.9,,996.0,0,0.0,2.0,3,600,10,Mist,2,Cloud covering more than half of the sky throughout the period,2,Cloud covering more than half of the sky throughout the period,,,,2.0,12.0,AAXX 05154 42182 21595 30000 10322 20289 49960 71022 83300 333 59011 6002/ 83630 81935=
42182,42182,2025-07-05T18:00:00Z,28.583333,77.2,31.4,27.8,,998.0,70,1.543,2.0,7,600,10,Mist,2,Cloud covering more than half of the sky throughout the period,2,Cloud covering more than half of the sky throughout the period,,,,2.0,15.0,AAXX 05184 42182 21595 70703 10314 20278 49980 71022 83330 333 59007 6002/ 83630 81935 87359=
42182,42182,2025-07-05T21:00:00Z,28.583333,77.2,30.6,27.9,,996.4,110,1.543,2.0,7,600,10,Mist,2,Cloud covering more than half of the sky throughout the period,2,Cloud covering more than half of the sky throughout the period,,,,2.0,18.0,AAXX 05214 42182 21595 71103 10306 20279 49964 71022 83330 333 59017 6002/ 83630 81935 86359=
42182,42182,2025-07-06T00:00:00Z,28.583333,77.2,30.2,27.7,,996.3,0,0.0,2.0,7,600,10,Mist,2,Cloud covering more than half of the sky throughout the period,2,Cloud covering more than half of the sky throughout the period,,,,2.0,21.0,AAXX 06004 42182 21595 70000 10302 20277 49963 71022 83330 333 59013 6002/ 83630 81935 85359=
42182,42182,2025-07-06T03:00:00Z,28.583333,77.2,30.6,26.7,,997.9,230,1.543,4.0,7,600,10,Mist,2,Cloud covering more than half of the sky throughout the period,2,Cloud covering more than half of the sky throughout the period,,,,2.0,24.0,AAXX 06034 42182 21596 72303 10306 20267 49979 71022 84330 333 10371 20288 59002 6002/ 84630 81935 86359 555 00018 10113=
42182,42182,2025-07-06T06:00:00Z,28.583333,77.2,33.6,27.0,,997.6,,2.0,4.0,7,600,5,Haze,6,Rain,2,Cloud covering more than half of the sky throughout the period,,,,0.8,3.0,AAXX 06063 42182 21596 79902 10336 20270 49976 70562 84330 333 58000 6998/ 84630 81935 86359=
42182,42182,2025-07-06T09:00:00Z,28.583333,77.2,34.0,27.7,,995.7,,1.029,4.0,7,600,5,Haze,2,Cloud covering more than half of the sky throughout the period,2,Cloud covering more than half of the sky throughout the period,,,,0.8,6.0,AAXX 06094 42182 21596 79902 10340 20277 49957 70522 84330 333 58004 6998/ 84630 81935 86359=
42182,42182,2025-07-06T12:00:00Z,28.583333,77.2,33.6,28.2,,993.6,,1.029,4.0,6,600,5,Haze,2,Cloud covering more than half of the sky throughout the period,2,Cloud covering more than half of the sky throughout the period,,,,0.8,9.0,AAXX 06124 42182 21596 69902 10336 20282 49936 70522 83530 333 10350 59002 6998/ 83630 85359=
42182,42182,2025-07-06T15:00:00Z,28.583333,77.2,32.2,28.7,,995.4,,1.029,4.0,7,600,10,Mist,2,Cloud covering more than half of the sky throughout the period,2,Cloud covering more than half of the sky throughout the period,,,,0.8,12.0,AAXX 06154 42182 21596 79902 10322 20287 49954 71022 83530 333 59004 6998/ 83630 86360=
